Políticas,2016,2017,2018,2018-P,2019-P,2021,2022,2023,2023-P,2024-P
Justicia,1604.31,1726.19,1780.74,1779.73,1779.73,2048.13,2283.55,2291.32,2233.40,2231.36
Defensa,5734.29,7575.59,8400.56,8400.56,8400.56,9072.01,9790.81,12316.83,12316.83,12316.83
Seguridad ciudadana e Instituciones penitenciarias,7950.48,8217.16,8491.75,8491.13,8491.13,9363.30,9850.36,10651.98,10651.10,10651.52
Política Exterior,1542.41,1543.08,1622.75,1622.63,1622.63,2065.75,2343.83,2816.32,2793.81,2793.36
Pensiones,135448.93,139646.61,144834.40,144834.40,144834.40,163297.41,171165.41,190687.20,190687.20,190687.20
Otras prestaciones económicas,14138.08,13962.38,14271.39,14316.39,14316.39,18398.24,20473.01,21528.30,21528.30,21528.30
Desempleo,19820.84,18318.50,17702.21,17702.21,17702.21,25012.00,22457.17,21278.41,21278.41,21278.41
Servicios sociales y promoción social,2015.68,2068.51,2415.70,2415.65,2415.65,5181.76,6122.95,7125.86,7110.88,7109.80
Fomento del empleo,5205.39,5495.77,5716.36,5716.36,5716.36,7405.05,7648.55,8029.98,8029.98,8029.98
Sanidad,3967.63,4034.49,4251.36,4251.36,4251.36,7334.33,7027.60,7049.27,2734.48,2734.48
Educación,2483.50,2525.43,2600.31,2589.69,2589.69,4893.20,5023.23,5354.72,5354.72,5354.72
Cultura,801.32,806.74,838.01,837.74,837.74,1148.65,1326.56,1803.95,1703.35,1703.35
"Agricultura, Pesca y Alimentación",7267.31,7397.77,7508.84,7508.84,7508.84,8417.89,8856.88,8981.86,8981.86,8981.86
Industria y Energía,5382.49,5456.97,5592.51,5592.51,5592.51,11174.92,11181.18,10323.01,10317.06,10156.92
Comercio y Turismo,648.97,713.84,857.06,857.06,857.06,2193.38,2844.20,2962.24,2962.24,2962.24
Subvenciones al transporte,1768.18,1790.62,2170.82,2170.82,2170.82,2466.93,2814.73,3461.27,3461.27,3461.27
Infraestructuras,5429.62,5697.58,6100.91,6100.91,6100.91,11527.28,11824.22,12686.29,12686.29,12686.29
Investigación y Desarrollo,6425.48,6029.17,6331.42,6331.42,6331.42,11438.30,12101.45,13214.36,13214.36,13214.36
Deuda pública,33554.52,32306.49,31607.49,31547.41,31547.41,31674.57,30223.36,31275.31,31275.31,31275.31
Financiación de las Administraciones Territoriales,31061.32,32693.32,34978.71,34978.58,34978.58,54625.64,52865.26,48398.71,47517.51,47517.51