Capítulos,2016,2017,2018,2018-P,2019-P,2021,2022,2023,2023-P,2024-P
Impuestos directos,209880.90,202722.58,210024.87,210024.87,210020.24,221946.00,244043.39,269000.30,269000.30,269000.30
Impuestos indirectos,43476.00,44532.00,47191.00,47191.00,47191.00,51480.00,57879.55,57809.24,57809.24,57809.24
"Tasas, precios y otros ingresos",10158.16,11922.65,14643.86,14643.86,14255.00,13578.15,14470.95,14470.95,14470.95,14470.95
Transferencias corrientes,14191.76,11716.81,12223.10,12223.10,12223.10,15423.00,19127.66,19014.43,19014.43,19014.43
Ingresos patrimoniales,6941.09,6272.51,5965.76,5965.76,5965.76,8401.00,6629.06,6338.45,6338.45,6338.45
Operaciones corrientes,284647.92,277166.55,290048.59,290048.59,289655.10,310828.15,342150.61,366633.37,366633.37,366633.37
Enajenación de inversiones reales,110.16,218.42,160.03,160.03,160.03,126.17,144.36,187.75,187.75,187.75
Transferencias de capital,5209.68,5429.56,6642.79,6642.79,6642.79,21568.17,17505.77,18520.10,18520.10,18520.10
Operaciones de capital,5319.84,5647.98,6802.82,6802.82,6802.82,21694.34,17650.13,18707.85,18707.85,18707.85
Operaciones no financieras,289967.76,282814.53,296851.41,296851.41,296457.92,332522.49,359800.74,385341.22,385341.22,385341.22
Activos financieros,425.86,527.73,436.43,436.43,436.43,485.42,506.77,585.12,585.12,585.12
Pasivos financieros,39506.31,41151.68,40949.78,40949.78,40949.78,92454.91,66692.49,70068.66,75654.55,75654.55
Operaciones financieras,39932.17,41679.41,41386.21,41386.21,41386.21,92940.33,67199.26,70653.78,76239.67,76239.67
Total ingresos,329899.93,324493.94,338237.62,338237.62,337844.13,425462.82,427000.00,455995.00,461580.89,461580.89